price,ratings,reviews,recommend
0,2168,4.4,0
0,4055,4.6,0
0,2864,4.5,0
0,3704,4.8,0
0,1917,4.5,0
0,16787,4.3,0
22.74,351,4.1,0
0,5067,4.6,0
7.99,20546,4.5,0
0,3111,4.5,0
0,61,4.3,0
0,903,4.5,0
21.7,762,4.7,0
58.99,1332,4.3,0
19.99,3972,4.3,0
0,15723,4.4,0
0,7359,4.6,0
76.8,2851,3.9,0
0,18,4.4,0
0,2284,4.6,0
28.99,898,4.3,0
30.99,1936,4.4,0
24.99,3393,4.3,0
19.99,2708,4.6,0
0,163,4.2,0
0,16624,4.2,0
0,469,4.4,0
0,669,4.4,0
0,1031,4.2,0
0,1879,4.7,0
39.98,8046,4.5,0
0,1605,4.7,0
29.99,9277,4.6,0
6.97,54809,4.6,0
25.49,951,4.6,0
0,1297,4.3,0
283.99,191,4.5,0
0,435,4.6,0
0,1933,4.2,0
0,2951,4.6,0
27.53,8127,4.4,0
21,2300,4.6,0
133.99,432,4.6,0
0,1379,4.5,0
24.99,909,4.4,0
0,211,4.4,0
32.58,1338,4.6,0
0,357,4.5,0
39.9,1205,4.5,0
0,9102,4.5,0
57.03,2272,4.1,0
0,1978,4.4,0
0,4945,4.6,0
0,7667,4.6,0
0,301,4.5,0
0,114,4.5,0
0,388,3.9,0
0,2593,4.4,0
35.96,732,4.3,0
0,2972,4.4,0
0,365,4.6,0
0,3064,4.6,0
0,124,4.2,0
8.95,3220,4.4,0
0,178,4.8,0
0,1331,4.6,0
0,9360,4.3,0
0,4210,4.5,0
25.99,1774,4.1,0
0,542,4.4,0
0,300,4.8,0
0,8,4.8,0
0,1815,4.7,0
0,667,4.7,0
0,465,4.5,0
0,430,4.4,0
0,2088,4.5,0
0,139,4.5,0
25.99,0,0,0
71.64,96,4.4,0
0,55735,4.6,0
0,42375,4.4,0
8.77,60398,4.7,1
9.89,39311,4.5,0
0,7841,4.3,0
0,10115,4.6,0
59.98,3904,4.5,0
6.99,35943,4.7,1
0,4096,3.8,0
9.54,33182,4.6,0
10.84,1,5,0
14.38,381,4.4,0
19.73,1,5,0
0,2343,4.7,0
10.74,117,4.5,0
0,1030,4.2,0
0,1016,4.2,0
0,4378,3.2,0
63.98,1570,4.5,0
0,473,3.7,0
0,3005,4.3,0
0,4074,4.4,0
0,7645,4.6,0
7.99,11150,4.5,0
0,1788,4.2,0
0,797,4.3,0
13.27,221,4.3,0
23.95,1240,4.7,0
34.74,447,4.4,0
0,242,4.5,0
0,1296,4.3,0
0,498,4.5,0
199.99,1004,4,0
0,2295,4.6,0
0,586,4.5,0
41.99,1588,4.7,0
0,1101,4.2,0
0,75,2.9,0
0,625,4.6,0
0,89,4,0
0,1139,4.4,0
0,2093,4.5,0
0,1111,4,0
22.98,911,4.6,0
0,862,4.3,0
0,2184,4.6,0
0,6536,4.6,0
6.49,2523,4.6,0
0,2220,4.7,0
0,2745,4.6,0
0,269,4.5,0
0,482,4.5,0
0,438,4.5,0
12.32,3562,4.6,0
0,1218,4.6,0
0,867,4,0
17.05,524,4.7,0
0,294,4.3,0
64.95,175,4.3,0
0,508,4.1,0
0,746,4.7,0
0,507,4.6,0
0,77,4,0
0,277,4.6,0
44.99,13082,4.6,0
0,3641,4.6,0
31.51,1474,4.7,0
0,798,3.2,0
0,706,4,0
0,662,4.5,0
0,1314,3.6,0
0,510,4.5,0
24.88,800,4.4,0
0,588,3.9,0
11.99,1338,4.6,0
8.59,4420,4.5,0
0,496,4.6,0
0,133,4.3,0
0,670,4.7,0
88.33,176,4.2,0
6.99,5011,4.7,1
224.99,325,4.6,0
0,3346,4.2,0
12.85,342,4.3,0
0,440,4.3,0
0,359,4.4,0
0,1002,4.6,0
12.59,148,4.4,0
0,1326,4.7,0
0,809,4.4,0
0,7,3.4,0
0,448,4.5,0
0,317,4.2,0
0,220,4.4,0
0,454,4.5,0
0,267,4.4,0
28.62,523,4.7,0
194.53,332,4.3,0
0,113,4.6,0
0,323,4.8,0
0,0,0,0
76,243,4.3,0
0,25,4.8,0
4.17,2196,4.4,0
0,51,3.9,0
0,408,4.6,0
0,261,4.2,0
499.99,207,4.4,0
